subject	hemi	ParaSub	PreSub	Sub	CA1	CA3	CA4_DG	Tail	SRLM	Cyst
sub-7243263	R	0.014305111952126	254.22091287188232	391.7407224383205	512.7619695533067	122.7855442557484	405.33534716349095	269.9469992779196	522.7564744371921	16.789433061145246
sub-8867610	L	3.9720562431029975	164.23713467130435	233.41194849926976	284.10454144096	119.36672741128132	337.58186529017985	209.87525028083476	318.6418804191053	35.862947184126824
sub-8867610	R	0.0286102490499615	173.5450023622252	227.56115256855264	306.9784355564043	288.29117455193773	393.4338398105465	273.99558677664027	401.4113309206441	13.222703435923904
sub-7620469	L	4.878038411960006	204.9109918642789	97.94700588472188	219.2542367745191	39.6441948749125	227.4415211863816	113.31068111769856	255.42229283973572	0.1621244437992572
sub-7620469	R	0.0	132.81806639954448	112.9053700082004	283.91804802045226	276.55569092556834	263.4140742458403	176.03376740403473	321.40217310003936	1.254080256447196
sub-7175272	L	3.428464524447918	208.411542378366	262.4229716807604	534.7498666122556	118.38454624265432	458.1172471791506	268.80783120542765	473.1710197851062	1.49727101624012
sub-7175272	R	0.1144410967826843	244.74659060686827	252.13757810741663	701.7909525036812	152.5928974226117	404.7543174251914	307.60336301475763	583.6066781803966	1.9550354033708568
sub-7670989	L	6.251342469826341	267.20555147342384	371.2515413220972	560.4559790492058	76.52291682362556	566.5022813007236	324.6168125998229	621.42921792157	15.764254923909904
sub-7670989	R	0.0	230.99449524469676	353.48456798680127	647.9652368724346	170.7460497021675	542.7462262399495	294.95273822546005	612.0402832739055	21.839167438447475
sub-7567693	L	0.0	98.7722032815218	205.0307616442442	452.7003685981035	101.0657935962081	290.928341537714	63.29069489985704	326.5433645322919	0.0
sub-7567693	R	0.6961833387613297	193.51512628048656	252.63825790584087	383.506420455873	165.992042504251	375.1999041810632	135.79389809072018	426.884364515543	3.1662036776542664
sub-9548396	L	6.2847192687913775	290.9424477885477	400.36236665118486	614.4719756096601	113.625626294408	485.2156135314144	349.3455142560415	602.3126173885539	25.04827793547884
sub-9548396	R	0.1525880247354507	288.2769257314503	399.6518786610104	532.1841148952954	132.83741228375584	428.50055208755657	353.1459097471088	585.4945560372435	12.216578730382023
sub-7134056	L	8.001337672583759	332.91858976427466	470.5196631955914	510.0590505502186	90.23200999898836	460.76356255309656	305.920035591349	562.3013959261589	19.63617910351604
sub-7134056	R	0.7867823098786175	302.6393917780369	517.8648847397417	586.1909678806551	161.97701990464702	417.83862707717344	352.8980920575559	616.8802463435568	19.822145831305534
sub-9389605	L	3.933908091858029	249.5242139864713	317.80255334079266	536.146373372525	103.42125164158642	388.7273399569094	283.3844338171184	524.4781635534018	7.0714978184551
sub-9389605	R	0.0	226.56449585035443	306.32507845945656	563.9412221815437	143.33730574697256	401.6257901247591	301.4088854379952	512.4332522321492	12.774472458288074
sub-6880490	L	5.240443439222872	231.57610157039016	243.25861879158765	446.9444986367598	103.55955469794571	402.5270913243294	297.18893298413604	457.3347864020616	15.01084253564477
sub-6880490	R	0.5578998019918799	281.85860936529934	199.828264974989	367.026544095017	216.31730356719345	322.23720358125865	252.65231631230563	449.6004831641913	9.62257949076593
sub-7607477	L	3.390311201568693	169.56324378028512	229.8640531403944	372.1760613131337	66.59028963418677	320.54414894944057	190.05293046543372	334.33904389478266	12.626644250005484
sub-7607477	R	0.5674360520206392	183.4582744995132	196.87646820023656	395.350340412464	121.7651010453701	335.278412821237	203.0276657389477	405.4497484643944	28.91539680212736
sub-9096690	L	3.714560736902058	265.0403458783403	371.2605704935268	589.8903648285195	99.1630360521376	444.53612228296697	263.4429417103529	564.7229045340791	36.23484857473522
sub-9096690	R	0.3337859455496073	313.75878881663084	414.4286299943924	525.6127284569666	159.60213404987007	439.8297404507175	357.12711988482624	572.9054285706952	31.45694118272513
sub-8206666	L	11.095999587792903	156.83649438852444	199.260692210868	453.6819014959037	131.92652367660776	356.0733447438106	254.59763901634145	390.12905125692487	2.1171567756682634
sub-8206666	R	0.0	176.21992297656834	165.65798095380887	429.29168323567137	206.4323223698884	338.37791953096166	220.84233988355845	428.2569467034191	8.330344340298325
sub-7195884	L	7.739068589173257	225.2531491583213	293.7555886851624	515.7614761618897	79.87500797118992	328.8460420109332	252.64744924753904	495.3433050597087	4.668236690573394
sub-7195884	R	0.0	187.01080160122365	223.3648736430332	638.6233623409644	217.81448803748933	286.7603862080723	287.3802746348083	514.6409086212516	10.352136726491151
sub-7108358	L	3.4570639953017235	225.12877573817968	315.3319200128317	492.03318963199854	63.03300545364618	364.4794491156936	230.2690722718835	480.589115716517	16.632054090499878
